text,label
That was completely unfair,3
My heart feels heavy,0
My heart is racing with fear,4
I feel full of positive energy,1
You mean the world to me,2
I'm scared about what might happen,4
You are always in my thoughts,2
I feel danger around me,4
I'm grateful for this day,1
I feel full of positive energy,1
What an unexpected moment,5
I appreciate every moment with you,2
I feel amazing today,1
I feel full of positive energy,1
Why does this keep happening,3
Wow that surprised me,5
Everything feels wonderful,1
Today is a great day,1
I feel danger around me,4
Everything feels wonderful,1
You are always in my thoughts,2
I appreciate every moment with you,2
That was completely unfair,3
I wish things were different,0
Life feels beautiful right now,1
This makes me so angry,3
I can't accept this behavior,3
I feel very sad today,0
My heart is racing with fear,4
I can't stop worrying,4
This is the happiest moment of my life,1
My heart feels heavy,0
This is the happiest moment of my life,1
I care deeply about you,2
Today feels darker than usual,0
My heart is racing with fear,4
Tears keep falling silently,0
I'm shocked by the news,5
Love makes everything brighter,2
That twist amazed me,5
I'm afraid of the outcome,4
I wish things were different,0
What an unexpected moment,5
This makes me so angry,3
I never saw that coming,5
I'm grateful for this day,1
My heart feels heavy,0
Everything feels wonderful,1
This situation worries me,4
I'm afraid of the outcome,4
I can't stop worrying,4
I care deeply about you,2
I'm shocked by the news,5
That twist amazed me,5
I can't tolerate this anymore,3
That twist amazed me,5
I'm furious about what happened,3
I'm grateful for this day,1
Today is a great day,1
Today feels darker than usual,0
I'm shocked by the news,5
I feel rage building inside,3
Tears keep falling silently,0
I feel full of positive energy,1
Why does this keep happening,3
Love makes everything brighter,2
I'm scared about what might happen,4
I feel very sad today,0
Love makes everything brighter,2
This is completely unexpected,5
My heart belongs to you,2
I'm shocked by the news,5
My heart belongs to you,2
I'm scared about what might happen,4
I'm grateful for this day,1
I'm shocked by the news,5
I can't stop thinking about what I lost,0
I can't stop thinking about what I lost,0
This situation is frustrating,3
Today is a great day,1
My heart is racing with fear,4
Wow that surprised me,5
I can't accept this behavior,3
I love how things are going,1
Love makes everything brighter,2
Tears keep falling silently,0
You mean the world to me,2
Wow that surprised me,5
Something feels wrong,4
That twist amazed me,5
I feel warm whenever I see you,2
I didn't expect that at all,5
This moment brings me pure happiness,1
Today feels darker than usual,0
This moment brings me pure happiness,1
I feel rage building inside,3
I feel rage building inside,3
I'm grateful for this day,1
That was completely unfair,3
My heart belongs to you,2
I can't stop smiling,1
I cherish our memories together,2
I'm terrified of losing everything,4
I care deeply about you,2
Life feels beautiful right now,1
That twist amazed me,5
I wish things were different,0
That was completely unfair,3
This makes me so angry,3
This moment brings me pure happiness,1
I didn't expect that at all,5
I never saw that coming,5
I can't stop worrying,4
My heart feels heavy,0
Something feels wrong,4
I feel danger around me,4
Why does this keep happening,3
Everything feels empty,0
This situation worries me,4
I didn't expect that at all,5
You are always in my thoughts,2
I feel lonely tonight,0
Why does this keep happening,3
This moment brings me pure happiness,1
This situation is frustrating,3
Everything feels empty,0
I can't stop thinking about what I lost,0
This moment brings me pure happiness,1
I'm furious about what happened,3
I'm furious about what happened,3
I feel amazing today,1
Tears keep falling silently,0
Wow that surprised me,5
I can't believe what just happened,5
My heart feels heavy,0
Something feels wrong,4
I feel full of positive energy,1
Being with you feels special,2
I feel full of positive energy,1
I can't accept this behavior,3
My heart is racing with fear,4
This situation worries me,4
My heart is racing with fear,4
This moment brings me pure happiness,1
That twist amazed me,5
I feel full of positive energy,1
This makes me so angry,3
You are always in my thoughts,2
That came out of nowhere,5
I'm shocked by the news,5
I feel danger around me,4
This situation worries me,4
That was completely unfair,3
Love makes everything brighter,2
This situation worries me,4
That came out of nowhere,5
This situation is frustrating,3
Tears keep falling silently,0
You are always in my thoughts,2
Everything feels wonderful,1
My heart belongs to you,2
It hurts remembering that moment,0
This place gives me chills,4
That came out of nowhere,5
Why does this keep happening,3
This place gives me chills,4
I can't accept this behavior,3
This is the happiest moment of my life,1
What an unexpected moment,5
My heart is racing with fear,4
I love how things are going,1
I'm terrified of losing everything,4
My heart is racing with fear,4
This situation is frustrating,3
Life feels beautiful right now,1
I feel full of positive energy,1
I'm grateful for this day,1
My heart feels heavy,0
I can't stop thinking about what I lost,0
Love makes everything brighter,2
I can't tolerate this anymore,3
My heart is full of love,2
Being with you feels special,2
I feel lonely tonight,0
I didn't expect that at all,5
Wow that surprised me,5
I'm shocked by the news,5
Life feels beautiful right now,1
That came out of nowhere,5
I miss the good old days,0
My heart is racing with fear,4
This place gives me chills,4
Being with you feels special,2
I feel rage building inside,3
That was completely unfair,3
Everything feels empty,0
I love how things are going,1
My heart is full of love,2
My heart is racing with fear,4
This situation worries me,4
I care deeply about you,2
You are always in my thoughts,2
My heart is racing with fear,4
I feel nervous and uneasy,4
My heart feels heavy,0
This situation is frustrating,3
This place gives me chills,4
My heart is racing with fear,4
I feel very sad today,0
That came out of nowhere,5
That came out of nowhere,5
That twist amazed me,5
I wish things were different,0
You mean the world to me,2
This situation is frustrating,3
I wish things were different,0
This situation is frustrating,3
I didn't expect that at all,5
My heart feels heavy,0
I feel amazing today,1
I'm furious about what happened,3
My heart is racing with fear,4
I miss the good old days,0
That twist amazed me,5
I'm really upset about this,3
I feel very sad today,0
Something feels wrong,4
I'm grateful for this day,1
I love how things are going,1
Being with you feels special,2
It hurts remembering that moment,0
My heart belongs to you,2
I feel rage building inside,3
My heart is racing with fear,4
You mean the world to me,2
I feel danger around me,4
I can't tolerate this anymore,3
It hurts remembering that moment,0
Love makes everything brighter,2
Being with you feels special,2
I miss the good old days,0
I can't tolerate this anymore,3
I never saw that coming,5
Love makes everything brighter,2
Being with you feels special,2
My heart belongs to you,2
Love makes everything brighter,2
Something feels wrong,4
I can't believe what just happened,5
I miss the good old days,0
You mean the world to me,2
I feel rage building inside,3
Being with you feels special,2
Love makes everything brighter,2
This is the happiest moment of my life,1
I feel very sad today,0
I wish things were different,0
I didn't expect that at all,5
This is such a surprise,5
That was completely unfair,3
I'm terrified of losing everything,4
I feel very sad today,0
I never saw that coming,5
That twist amazed me,5
This is completely unexpected,5
My heart is racing with fear,4
Why does this keep happening,3
This is completely unexpected,5
It hurts remembering that moment,0
Being with you feels special,2
Today is a great day,1
It hurts remembering that moment,0
I'm terrified of losing everything,4
I'm terrified of losing everything,4
You mean the world to me,2
I miss the good old days,0
I can't stop thinking about what I lost,0
My heart belongs to you,2
I feel amazing today,1
I'm grateful for this day,1
This is such a surprise,5
I love how things are going,1
Everything feels empty,0
I care deeply about you,2
Why does this keep happening,3
This situation is frustrating,3
I wish things were different,0
It hurts remembering that moment,0
I feel warm whenever I see you,2
I can't stop thinking about what I lost,0
I appreciate every moment with you,2
This makes me so angry,3
I'm terrified of losing everything,4
That came out of nowhere,5
I didn't expect that at all,5
What an unexpected moment,5
Why does this keep happening,3
Everything feels wonderful,1
Tears keep falling silently,0
Life feels beautiful right now,1
This is the happiest moment of my life,1
I appreciate every moment with you,2
That twist amazed me,5
Tears keep falling silently,0
I miss the good old days,0
My heart is racing with fear,4
I'm really upset about this,3
This is the happiest moment of my life,1
You mean the world to me,2
Today feels darker than usual,0
I cherish our memories together,2
I feel lonely tonight,0
I'm grateful for this day,1
I'm really upset about this,3
Today feels darker than usual,0
I feel nervous and uneasy,4
Something feels wrong,4
That twist amazed me,5
This situation worries me,4
I feel danger around me,4
I'm shocked by the news,5
I feel amazing today,1
I'm furious about what happened,3
My heart belongs to you,2
I appreciate every moment with you,2
I feel danger around me,4
I feel rage building inside,3
I care deeply about you,2
Love makes everything brighter,2
I miss the good old days,0
I'm grateful for this day,1
My heart feels heavy,0
I can't believe what just happened,5
The memories we made together now only make me feel empty,0
I felt a wave of sadness watching the train leave the station,0
My heart sank when I read the goodbye message,0
The quiet house made me feel deeply lonely,0
I couldn't hold back tears during the sad ending,0
Seeing my old school again filled me with melancholy,0
The broken photo frame reminded me of better days,0
I felt miserable after hearing the disappointing news,0
The gray sky seemed to mirror my sadness,0
I sat silently, feeling the weight of the loss,0
I felt so happy when everyone applauded my performance,1
The good news made me jump with excitement,1
We laughed and celebrated the whole evening,1
My heart felt light and cheerful today,1
I couldn't stop smiling after hearing that joke,1
The beautiful sunrise filled me with happiness,1
I felt proud and joyful after finishing the project,1
Hearing my favorite song instantly lifted my mood,1
My friends surprised me with a cheerful welcome,1
The festival atmosphere made everyone joyful,1
I truly care about you more than words can say,2
Being near you makes everything feel better,2
Your kindness makes me fall for you more each day,2
I feel grateful to have someone like you in my life,2
Your message warmed my heart instantly,2
I feel a deep connection whenever we talk,2
Spending time with you means everything to me,2
Your support makes me feel truly loved,2
Every moment with you feels precious,2
I can't imagine my life without you,2
He shouted angrily after the mistake happened,3
I was furious when they ignored my warning,3
She threw the papers on the table in anger,3
His face turned red with rage,3
I couldn't control my frustration anymore,3
The unfair decision made everyone angry,3
He argued loudly with his teammate,3
My patience finally ran out and I snapped,3
I felt irritated by the constant noise,3
She glared at him with pure anger,3
My heart skipped a beat when I heard the scream,4
The dark forest made me feel uneasy and scared,4
I was afraid something terrible would happen,4
Walking alone at night filled me with fear,4
The strange sound in the attic terrified me,4
I froze when the dog suddenly barked at me,4
The horror movie left me feeling nervous,4
I felt panic when I couldn't find my phone,4
My heart pounded as the storm got stronger,4
I felt frightened by the sudden movement behind me,4
I was amazed by the unexpected performance,5
The sudden announcement surprised the whole class,5
I couldn't believe the results when they appeared,5
The magic trick left everyone in shock,5
I gasped when the lights suddenly turned on,5
The unexpected visitor shocked us all,5
I was stunned by how quickly things changed,5
Everyone looked surprised when the door opened,5
The gift inside the box caught me off guard,5
I stood there in disbelief at the news,5
I felt a rush of happiness when I heard the good news,1
The dark alley made my heart beat faster with fear,4
My chest tightened when I remembered the painful moment,0
I couldn't believe my eyes when the results appeared,5
Your kind message made me feel deeply loved,2
He shouted in anger after hearing the unfair decision,3
I stared at the old photo and felt incredibly sad,0
My friends cheered loudly when I arrived at the party,1
The sudden thunder made me jump in fear,4
I was shocked to see the surprise waiting for me,5
Holding your hand makes me feel safe and loved,2
She slammed the table in frustration,3
The empty street made me feel lonely and sad,0
The celebration filled everyone with joy and laughter,1
I felt nervous walking through the dark corridor,4
Everyone gasped when the magician revealed the trick,5
Your smile makes my heart warm,2
His angry voice echoed through the room,3
Watching the sunset alone made me feel sad,0
I couldn't stop smiling after hearing the compliment,1
The strange noise outside scared me,4
I was amazed by the unexpected performance,5
I feel grateful to have you in my life,2
He argued loudly with his colleague,3
The silence after the goodbye made me feel empty,0
Winning the prize filled me with excitement,1
I was terrified when the lights suddenly went out,4
The unexpected news left everyone stunned,5
Your support means everything to me,2
She glared at him with anger,3
Looking at the cloudy sky made me feel gloomy,0
The festival atmosphere made everyone cheerful,1
My heart raced when I heard footsteps behind me,4
I was surprised to see my friends waiting for me,5
Every moment with you feels special,2
He lost his temper during the discussion,3
Tears rolled down my face during the sad movie,0
The laughter of my friends made me happy,1
The creepy shadow made me feel uneasy,4
I couldn't believe the sudden announcement,5
You always make me feel appreciated,2
He clenched his fists in anger,3
The lonely night made me feel depressed,0
I felt joyful when my family visited me,1
The loud bang frightened everyone,4
The unexpected gift left me speechless,5
Being with you makes my heart feel full,2
She yelled angrily across the room,3
The farewell at the airport made me cry,0
I felt delighted when I finished my project,1
My hands trembled during the scary moment,4
Everyone was shocked by the sudden decision,5
I cherish every moment we spend together,2
He slammed the door in frustration,3
The sad song reminded me of the past,0
The good news made everyone celebrate,1
I was afraid to open the mysterious message,4
The magician's trick amazed the audience,5
I adore the way you care about me,2
He shouted angrily after losing the game,3
The quiet room made me feel sorrowful,0
I laughed happily with my friends all night,1
The dark forest made me feel scared,4
The unexpected visitor surprised us all,5
Your love makes my life brighter,2
His angry expression scared everyone,3
The broken memories made me feel sad again,0
I felt pure joy watching the fireworks,1
My heart pounded during the storm,4
Everyone looked shocked when the door opened,5
You mean the world to me,2
She argued angrily about the mistake,3
The rainy afternoon made me feel gloomy,0
The cheerful music lifted my mood,1
I felt uneasy hearing strange footsteps,4
I gasped at the surprising announcement,5
I feel loved whenever you call me,2
He complained angrily about the situation,3
The empty chair reminded me of the loss,0
The celebration brought happiness to everyone,1
The sudden scream filled me with fear,4
The unexpected message surprised me,5
Your words touched my heart deeply,2
His temper flared during the meeting,3
I felt heartbroken reading the letter,0
The beautiful view made me feel joyful,1
I was scared walking alone at night,4
The sudden fireworks startled me,5
I appreciate the love you always show,2
He angrily pushed the chair aside,3
The sad memory returned again tonight,0
My friends made me laugh with their jokes,1
The creepy sound in the attic scared me,4
The surprising result shocked the class,5
Your presence makes everything better,2
She spoke with obvious irritation,3
I felt miserable thinking about the loss,0
The party atmosphere filled me with happiness,1
I was frightened by the loud thunder,4
The unexpected victory amazed everyone,5
I love the way you always understand me,2
He shouted angrily during the argument,3
The lonely evening made me feel down,0
The good news filled my heart with joy,1
My heart skipped when I heard the noise,4
I was stunned by the sudden change,5
Being with you makes me feel complete,2
He looked furious after the mistake,3
The quiet evening made me think about everything I lost,0
I burst out laughing when my friend told that joke,1
Your hug always makes me feel loved,2
He slammed his laptop shut in anger,3
A sudden noise behind me made me jump in fear,4
I was stunned when they announced my name as the winner,5
I felt empty after reading the farewell message,0
The cheerful crowd made the whole event joyful,1
I feel lucky to have someone like you,2
She yelled angrily across the room,3
Walking through the dark street made me nervous,4
The unexpected gift left me completely surprised,5
The old memories made my heart heavy,0
I smiled all day after hearing the great news,1
Your support makes me feel deeply loved,2
He lost his temper during the argument,3
The thunder outside scared me,4
Everyone gasped at the sudden announcement,5
I felt lonely sitting in the silent room,0
My friends made me laugh all night,1
I cherish every moment we spend together,2
His angry voice filled the hallway,3
The creepy sound in the basement frightened me,4
I couldn't believe the results on the screen,5
Looking at the empty chair made me sad,0
The beautiful weather lifted my mood,1
Your kindness always touches my heart,2
She threw the papers down in anger,3
The strange shadow made me uneasy,4
The magician's trick amazed everyone,5
The sad movie made me cry quietly,0
The celebration made everyone cheerful,1
You always make my heart feel warm,2
He shouted after hearing the bad news,3
My heart raced during the storm,4
I was shocked by the unexpected visitor,5
The long goodbye left me feeling miserable,0
The good news made me jump with joy,1
I feel safe whenever you are around,2
He clenched his fists in frustration,3
The dark hallway made me feel afraid,4
The surprise party left me speechless,5
The rainy day made me feel gloomy,0
We laughed together for hours,1
Your love gives me strength every day,2
He angrily pushed the chair away,3
I froze when I heard the loud bang,4
Everyone looked shocked at the sudden decision,5
The quiet night made me feel lonely again,0
Winning the game filled me with happiness,1
Your smile makes everything better,2
She argued loudly with obvious anger,3
The horror movie made my heart pound,4
The unexpected message surprised me,5
Thinking about the past made me sad,0
The music made everyone dance happily,1
Being with you makes my heart full,2
His temper exploded during the meeting,3
I felt scared walking home alone,4
The sudden fireworks startled everyone,5
The empty park felt depressing,0
I felt joyful watching the sunrise,1
I love how you always understand me,2
He glared at me angrily,3
The loud crash made me panic,4
I couldn't believe the shocking news,5
The goodbye letter broke my heart,0
My friends made the trip so fun,1
You mean everything to me,2
He shouted with rage,3
A sudden scream terrified me,4
The unexpected prize amazed the crowd,5
I sat quietly feeling the sadness grow,0
The party filled the room with laughter,1
I feel deeply connected to you,2
His angry words hurt everyone,3
The dark forest made me feel afraid,4
I gasped when the lights suddenly turned on,5
The sad song reminded me of old memories,0
The great news made my day perfect,1
Your words always comfort me,2
He argued angrily about the mistake,3
The eerie silence made me nervous,4
Everyone was surprised by the sudden change,5
I felt heartbroken after the conversation,0
My team celebrated with excitement,1
You always know how to make me feel loved,2
He slammed the door in anger,3
The shadow moving scared me instantly,4
The unexpected performance amazed us all,5
The lonely road made me feel down,0
The laughter of children made me smile,1
I adore the way you care about me,2
He shouted in frustration,3
My heart skipped when I heard the noise,4
I was shocked by the sudden result,5
The gray sky matched my mood,0
The cheerful festival made everyone happy,1
Your presence means the world to me,2
She spoke with clear irritation,3
The sudden storm frightened me,4
I couldn't believe the surprise announcement,5
I felt miserable remembering the loss,0
The warm sunshine made me feel great,1
Being near you makes me happy,2
He complained angrily about the delay,3
The dark room made me uneasy,4
The unexpected gift amazed me,5
The lonely evening made me feel sad,0
The good news filled me with joy,1
Your love brightens my life,2
He shouted during the heated debate,3
The strange footsteps scared me,4
Everyone was stunned by the results,5
The memory made my eyes tear up,0
We laughed loudly at the joke,1
I feel loved whenever you smile at me,2
He angrily hit the table,3
The horror story frightened everyone,4
The surprising ending shocked the audience,5
The empty house felt depressing,0
The fun trip made everyone happy,1
Your kindness always warms my heart,2
He looked furious during the argument,3
The loud thunder made me jump,4
The sudden news surprised the whole class,5
The old memories suddenly made me feel very sad,0
I laughed loudly when my friend slipped on the joke,1
Your gentle words always make me feel loved,2
He shouted angrily after losing the match,3
The sudden scream in the hallway frightened me,4
I was shocked when the teacher announced the winner,5
The quiet room made my heart feel heavy,0
My friends surprised me with a joyful celebration,1
Being with you makes everything feel better,2
She glared at him with anger,3
The dark street made me nervous to walk alone,4
The unexpected gift amazed everyone,5
I felt lonely watching everyone leave,0
The beautiful sunset made me feel happy,1
I appreciate the love you always show me,2
He slammed the door in frustration,3
A strange sound outside scared me,4
I couldn't believe the surprising result,5
The sad song reminded me of painful memories,0
The festival lights made everyone cheerful,1
You always know how to make me feel special,2
He raised his voice in anger during the meeting,3
My heart raced when I heard footsteps behind me,4
Everyone gasped at the sudden announcement,5
The empty park made me feel gloomy,0
I smiled the whole day after hearing the good news,1
Your presence makes my heart warm,2
He looked furious after the mistake happened,3
The loud thunder made me jump in fear,4
I stood there shocked by the sudden change,5
I felt miserable remembering the past,0
We celebrated happily after finishing the project,1
Your kindness means the world to me,2
She argued angrily about the problem,3
The creepy shadow made me uneasy,4
The unexpected visitor surprised us all,5
The rainy evening made me feel down,0
My friends made the day fun and joyful,1
I love the way you care about me,2
He complained angrily about the delay,3
The strange movement scared me instantly,4
I was amazed by the sudden performance,5
The silence after goodbye made me sad,0
Winning the game filled me with excitement,1
Being near you makes me feel safe and loved,2
He shouted with frustration during the argument,3
The dark forest made me feel afraid,4
